Title,Production Budget,Release Date
The Fourth Kind,"$10,000,000",Nov 06 2009
"4 luni, 3 saptamani si 2 zile","$900,000",Jan 25 2008
50 First Dates,"$75,000,000",Feb 13 2004
Six-String Samurai,"$2,000,000",Sep 18 1998
The 6th Day,"$82,000,000",Nov 17 2000
Seven Pounds,"$54,000,000",Dec 19 2008
88 Minutes,"$30,000,000",Apr 18 2008
Eight Below,"$40,000,000",Feb 17 2006
Eight Legged Freaks,"$30,000,000",Jul 17 2002
8 Mile,"$41,000,000",Nov 08 2002
8 femmes,"$8,000,000",Sep 20 2002
9,"$30,000,000",Sep 09 2009
Nine Queens,"$1,500,000",Apr 19 2002
The Whole Ten Yards,"$30,000,000",Apr 09 2004
The Whole Nine Yards,"$24,000,000",Feb 18 2000
About a Boy,"$27,000,000",May 17 2002
A Bug's Life,"$45,000,000",Nov 20 1998
Abandon,"$25,000,000",Oct 18 2002
Absolute Power,"$50,000,000",Feb 14 1997
Tristram Shandy: A Cock and Bull Story,"$4,750,000",Jan 27 2006
Adoration,"$4,000,000",May 08 2009
Adaptation,"$18,500,000",Dec 06 2002
Anything Else,"$18,000,000",Sep 19 2003
Antwone Fisher,"$12,500,000",Dec 19 2002
Aeon Flux,"$55,000,000",Dec 02 2005
After the Sunset,"$57,000,000",Nov 12 2004
A Good Year,"$35,000,000",Nov 10 2006
Agora,"$70,000,000",May 28 2010
Air Bud,"$3,000,000",Aug 01 1997
Air Force One,"$85,000,000",Jul 25 1997
Akeelah and the Bee,"$8,000,000",Apr 28 2006
All the King's Men,"$55,000,000",Sep 22 2006
The Alamo,"$92,000,000",Apr 09 2004
All About the Benjamins,"$14,000,000",Mar 08 2002
Albino Alligator,"$5,000,000",Jan 17 1997
Sweet Home Alabama,"$38,000,000",Sep 27 2002
Fat Albert,"$45,000,000",Dec 25 2004
Alice in Wonderland,"$200,000,000",Mar 05 2010
Alfie,"$40,000,000",Nov 05 2004
It's All Gone Pete Tong,"$2,000,000",Apr 15 2005
Ali,"$109,000,000",Dec 25 2001
Alien: Resurrection,"$60,000,000",Nov 26 1997
Alien,"$9,000,000",May 25 1979
A Lot Like Love,"$25,000,000",Apr 22 2005
All the Pretty Horses,"$45,000,000",Dec 25 2000
Almost Famous,"$60,000,000",Sep 15 2000
Evan Almighty,"$175,000,000",Jun 22 2007
Bruce Almighty,"$81,000,000",May 23 2003
All or Nothing,"$9,000,000",Oct 25 2002
Alone in the Dark,"$20,000,000",Jan 28 2005
Alpha and Omega 3D,"$20,000,000",Sep 17 2010
Along Came a Spider,"$28,000,000",Apr 06 2001
The Dangerous Lives of Altar Boys,"$12,000,000",Jun 14 2002
Alatriste,"$28,000,000",Dec 31 2007
Alvin and the Chipmunks,"$55,000,000",Dec 14 2007
Alex & Emma,"$30,000,000",Jun 20 2003
Alexander,"$155,000,000",Nov 24 2004
El Crimen de Padre,"$1,800,000",Nov 15 2002
American Beauty,"$15,000,000",Sep 15 1999
An American Carol,"$20,000,000",Oct 03 2008
American Dreamz,"$17,000,000",Apr 21 2006
Amelia,"$40,000,000",Oct 23 2009
Le Fabuleux destin d'AmÈlie Poulain,"$10,350,000",Nov 02 2001
American History X,"$10,000,000",Oct 30 1998
American Gangster,"$100,000,000",Nov 02 2007
An American Haunting,"$14,000,000",May 05 2006
Amistad,"$40,000,000",Dec 12 1997
AimÈe & Jaguar,"$6,800,000",Aug 11 2000
Amores Perros,"$2,000,000",Mar 30 2001
American Pie 2,"$30,000,000",Aug 10 2001
American Wedding,"$55,000,000",Aug 01 2003
American Pie,"$12,000,000",Jul 09 1999
American Psycho,"$8,000,000",Apr 14 2000
American Splendor,"$2,000,000",Aug 15 2003
America's Sweethearts,"$46,000,000",Jul 20 2001
The Amityville Horror,"$18,500,000",Apr 15 2005
Anacondas: The Hunt for the Blood Orchid,"$25,000,000",Aug 27 2004
Anaconda,"$45,000,000",Apr 11 1997
Anastasia,"$53,000,000",Nov 14 1997
Anchorman: The Legend of Ron Burgundy,"$25,000,000",Jul 09 2004
Angels & Demons,"$150,000,000",May 15 2009
Angela's Ashes,"$25,000,000",Dec 24 1999
Angel Eyes,"$38,000,000",May 18 2001
Anger Management,"$56,000,000",Apr 11 2003
A Night at the Roxbury,"$17,000,000",Oct 02 1998
The Animal,"$22,000,000",Jun 01 2001
Anna and the King,"$75,000,000",Dec 17 1999
Analyze That,"$60,000,000",Dec 06 2002
Analyze This,"$30,000,000",Mar 05 1999
The Ant Bully,"$45,000,000",Jul 28 2006
Antitrust,"$30,000,000",Jan 12 2001
Marie Antoinette,"$40,000,000",Oct 20 2006
Antz,"$60,000,000",Oct 02 1998
Anywhere But Here,"$23,000,000",Nov 12 1999
Appaloosa,"$20,000,000",Sep 19 2008
Apocalypto,"$40,000,000",Dec 08 2006
Pieces of April,"$300,000",Oct 17 2003
The Apostle,"$5,000,000",Dec 17 1997
Aquamarine,"$17,000,000",Mar 03 2006
Ararat,"$15,500,000",Nov 15 2002
Are We There Yet?,"$20,000,000",Jan 21 2005
Arlington Road,"$21,500,000",Jul 09 1999
Armageddon,"$140,000,000",Jul 01 1998
Hey Arnold! The Movie,"$10,000,000",Jun 28 2002
Against the Ropes,"$39,000,000",Feb 20 2004
King Arthur,"$90,000,000",Jul 07 2004
Arthur et les Minimoys,"$80,000,000",Dec 15 2006
Artificial Intelligence: AI,"$90,000,000",Jun 29 2001
The Art of War,"$40,000,000",Aug 25 2000
Astro Boy,"$65,000,000",Oct 23 2009
A Serious Man,"$7,000,000",Oct 02 2009
The Astronaut Farmer,"$13,000,000",Feb 23 2007
As Good as it Gets,"$50,000,000",Dec 24 1997
A Single Man,"$7,000,000",Dec 11 2009
A Simple Plan,"$17,000,000",Dec 11 1998
Assault On Precinct 13,"$30,000,000",Jan 19 2005
The Astronaut's Wife,"$34,000,000",Aug 27 1999
The A-Team,"$110,000,000",Jun 11 2010
At First Sight,"$40,000,000",Jan 15 1999
Aqua Teen Hunger Force: The Movie,"$750,000",Apr 13 2007
ATL,"$17,000,000",Mar 31 2006
Atlantis: The Lost Empire,"$90,000,000",Jun 08 2001
Hearts in Atlantis,"$31,000,000",Sep 28 2001
Autumn in New York,"$40,000,000",Aug 11 2000
Atonement,"$30,000,000",Dec 07 2007
The Rules of Attraction,"$4,000,000",Oct 11 2002
August Rush,"$25,000,000",Nov 17 2007
Across the Universe,"$45,000,000",Sep 14 2007
Austin Powers: The Spy Who Shagged Me,"$35,000,000",Jun 10 1999
Austin Powers in Goldmember,"$63,000,000",Jul 25 2002
Austin Powers: International Man of Mystery,"$18,000,000",May 02 1997
Australia,"$78,000,000",Nov 26 2008
Auto Focus,"$7,000,000",Oct 18 2002
Avatar,"$237,000,000",Dec 18 2009
The Avengers,"$60,000,000",Aug 14 1998
The Aviator,"$110,000,000",Dec 17 2004
AVP: Alien Vs. Predator,"$70,000,000",Aug 13 2004
Around the World in 80 Days,"$110,000,000",Jun 16 2004
Awake,"$8,600,000",Nov 30 2007
And When Did You Last See Your Father?,"$8,000,000",Jun 06 2008
Away We Go,"$21,000,000",Jun 05 2009
Don't Say a Word,"$50,000,000",Sep 28 2001
Babe: Pig in the City,"$80,000,000",Nov 25 1998
Babel,"$20,000,000",Oct 27 2006
Babylon A.D.,"$45,000,000",Aug 29 2008
My Baby's Daddy,"$12,000,000",Jan 09 2004
Super Babies: Baby Geniuses 2,"$20,000,000",Aug 27 2004
Baby Geniuses,"$13,000,000",Mar 12 1999
Bad Boys II,"$130,000,000",Jul 18 2003
Bad Company,"$70,000,000",Jun 07 2002
La mala educaciÛn,"$5,000,000",Nov 19 2004
Bad Lieutenant: Port of Call New Orleans,"$25,000,000",Nov 20 2009
The Bad News Bears,"$35,000,000",Jul 22 2005
Burn After Reading,"$37,000,000",Sep 12 2008
Bait,"$35,000,000",Sep 15 2000
Boys and Girls,"$16,000,000",Jun 16 2000
Black and White,"$10,000,000",Apr 05 2000
Bangkok Dangerous,"$45,000,000",Sep 05 2008
The Banger Sisters,"$10,000,000",Sep 20 2002
Les invasions barbares,"$5,000,000",May 09 2003
Barney's Great Adventure,"$15,000,000",Apr 03 1998
Basic Instinct 2,"$70,000,000",Mar 31 2006
Basic,"$50,000,000",Mar 28 2003
Batman Begins,"$150,000,000",Jun 15 2005
Battlefield Earth: A Saga of the Year 3000,"$80,000,000",May 12 2000
The Dark Knight,"$185,000,000",Jul 18 2008
Bats,"$6,500,000",Oct 22 1999
The Battle of Shaker Heights,"$1,000,000",Aug 22 2003
Baby Boy,"$16,000,000",Jun 27 2001
The Curious Case of Benjamin Button,"$160,000,000",Dec 25 2008
Baby Mama,$nan,Apr 25 2008
Bless the Child,"$40,000,000",Aug 11 2000
The Bachelor,"$21,000,000",Nov 05 1999
The Broken Hearts Club: A Romantic Comedy,"$1,000,000",Sep 29 2000
Be Cool,"$75,000,000",Mar 04 2005
Big Daddy,"$30,000,000",Jun 25 1999
Bedazzled,"$48,000,000",Oct 20 2000
Body of Lies,"$67,500,000",Oct 10 2008
Blood Diamond,"$100,000,000",Dec 08 2006
Mr. Bean's Holiday,"$25,000,000",Aug 24 2007
Beautiful,"$9,000,000",Sep 29 2000
Beavis and Butt-head Do America,"$12,000,000",Dec 20 1996
Bend it Like Beckham,"$5,000,000",Mar 12 2003
In the Bedroom,"$1,700,000",Nov 23 2001
Bee Movie,"$150,000,000",Nov 02 2007
Artie Lange's Beer League,"$2,800,000",Sep 15 2006
Being John Malkovich,"$13,000,000",Oct 29 1999
Behind Enemy Lines,"$40,000,000",Nov 30 2001
Bella,"$3,300,000",Oct 26 2007
Beloved,"$53,000,000",Oct 16 1998
Les Triplettes de Belleville,"$2,000,000",Nov 26 2003
Beyond the Mat,"$500,000",Oct 22 1999
The Benchwarmers,"$35,000,000",Apr 07 2006
The Last Airbender,"$150,000,000",Jul 01 2010
Beowulf,"$150,000,000",Nov 16 2007
The Importance of Being Earnest,"$15,000,000",May 22 2002
Beauty Shop,"$25,000,000",Mar 30 2005
Better Luck Tomorrow,"$250,000",Apr 11 2003
Big Fat Liar,"$15,000,000",Feb 08 2002
Big Fish,"$70,000,000",Dec 10 2003
Before Sunset,"$2,000,000",Jul 02 2004
The Big Hit,"$13,000,000",Apr 24 1998
Birthday Girl,"$13,000,000",Feb 01 2002
The Big Lebowski,"$15,000,000",Mar 06 1998
Big Momma's House,"$33,000,000",Jun 02 2000
Black Hawk Down,"$95,000,000",Dec 28 2001
Eye of the Beholder,"$15,000,000",Jan 28 2000
The Big Bounce,"$50,000,000",Jan 30 2004
Big Trouble,"$45,000,000",Apr 05 2002
Billy Elliot,"$5,000,000",Oct 13 2000
Bicentennial Man,"$90,000,000",Dec 17 1999
Birth,"$20,000,000",Oct 29 2004
Becoming Jane,"$16,500,000",Aug 03 2007
Bridget Jones: The Edge Of Reason,"$50,000,000",Nov 12 2004
Bridget Jones's Diary,"$25,000,000",Apr 13 2001
The Bank Job,"$20,000,000",Mar 07 2008
Blade,"$45,000,000",Aug 21 1998
The Blair Witch Project,"$600,000",Jul 14 1999
Blast from the Past,"$35,000,000",Feb 12 1999
Blade 2,"$54,000,000",Mar 22 2002
Blade: Trinity,"$65,000,000",Dec 08 2004
Blades of Glory,"$61,000,000",Mar 30 2007
The Blind Side,"$35,000,000",Nov 20 2009
Blood Work,"$50,000,000",Aug 09 2002
Zwartboek,"$22,000,000",Apr 06 2007
Black Christmas,"$9,000,000",Dec 25 2006
Black Snake Moan,"$15,000,000",Mar 02 2007
Black Water Transit,"$35,000,000",Dec 31 2008
Blindness,"$25,000,000",Oct 03 2008
"Legally Blonde 2: Red, White & Blonde","$25,000,000",Jul 02 2003
Legally Blonde,"$18,000,000",Jul 13 2001
Blood and Wine,"$26,000,000",Feb 21 1997
Blow,"$30,000,000",Apr 06 2001
Ballistic: Ecks vs. Sever,"$70,000,000",Sep 20 2002
Blue Crush,"$30,000,000",Aug 16 2002
Bamboozled,"$10,000,000",Oct 06 2000
A Beautiful Mind,"$78,000,000",Dec 21 2001
Big Momma's House 2,"$40,000,000",Jan 27 2006
"Story of Bonnie and Clyde, The","$20,000,000",Dec 31 1969
The Boondock Saints,"$7,000,000",Jan 21 2000
Bandidas,"$35,000,000",Sep 22 2006
Bandits,"$75,000,000",Oct 12 2001
Bobby,"$14,000,000",Nov 17 2006
The Book of Eli,"$80,000,000",Jan 15 2010
Boogeyman,"$20,000,000",Feb 04 2005
Bolt,"$150,000,000",Nov 21 2008
The Other Boleyn Girl,"$40,000,000",Feb 29 2008
The Bone Collector,"$48,000,000",Nov 05 1999
Bones,"$10,000,000",Oct 24 2001
Bon Voyage,"$20,000,000",Mar 19 2004
Boogie Nights,"$15,000,000",Oct 10 1997
Borat,"$18,000,000",Nov 03 2006
The Bourne Identity,"$60,000,000",Jun 14 2002
The Bourne Supremacy,"$85,000,000",Jul 23 2004
The Bourne Ultimatum,"$130,000,000",Aug 03 2007
The Borrowers,"$29,000,000",Feb 13 1998
My Boss's Daughter,"$14,000,000",Aug 22 2003
Bounce,"$35,000,000",Nov 17 2000
Bowling for Columbine,"$3,000,000",Oct 11 2002
Boys Don't Cry,"$2,000,000",Oct 08 1999
The Boy in the Striped Pyjamas,"$12,500,000",Nov 07 2008
Bulletproof Monk,"$52,000,000",Apr 16 2003
Heartbreakers,"$38,000,000",Mar 23 2001
Bride & Prejudice,"$7,000,000",Feb 11 2005
Beyond Borders,"$60,000,000",Oct 24 2003
Bride Wars,"$30,000,000",Jan 09 2009
Breakfast of Champions,"$12,000,000",Sep 17 1999
Brigham City,"$1,000,000",Apr 06 2001
Brick,"$450,000",Mar 31 2006
Bringing Out The Dead,"$32,000,000",Oct 22 1999
Breakdown,"$36,000,000",May 02 1997
Brooklyn's Finest,"$25,000,000",Mar 05 2010
Brokeback Mountain,"$13,900,000",Dec 09 2005
Breakin' All the Rules,"$9,000,000",May 14 2004
The Break Up,"$52,000,000",Jun 02 2006
An Alan Smithee Film: Burn Hollywood Burn,"$10,000,000",Feb 27 1998
Barney's Version,"$30,000,000",Dec 31 1969
Brooklyn Rules,"$8,000,000",May 18 2007
Boiler Room,"$9,000,000",Feb 18 2000
The Brothers Solomon,"$10,000,000",Sep 07 2007
The Brothers,"$6,000,000",Mar 23 2001
Brown Sugar,"$8,000,000",Oct 11 2002
Bright Star,"$8,500,000",Jan 26 2010
Brother,"$12,000,000",Jul 20 2001
In Bruges,"$15,000,000",Feb 08 2008
The Brown Bunny,"$10,000,000",Aug 27 2004
Barbershop 2: Back in Business,"$18,000,000",Feb 06 2004
Barbershop,"$12,000,000",Sep 13 2002
Best in Show,"$6,000,000",Sep 27 2000
Bad Santa,"$18,000,000",Nov 26 2003
Inglourious Basterds,"$70,000,000",Aug 21 2009
Blue Streak,"$36,000,000",Sep 17 1999
The Butterfly Effect,"$13,000,000",Jan 23 2004
"O Brother, Where Art Thou","$26,000,000",Dec 22 2000
Batman & Robin,"$125,000,000",Jun 20 1997
Boat Trip,"$15,000,000",Mar 21 2003
Bubba Ho-Tep,"$1,000,000",Sep 19 2003
Bubble,"$1,600,000",Jan 27 2006
Bubble Boy,"$13,000,000",Aug 24 2001
Buffalo '66,"$1,500,000",Jun 26 1998
Buffalo Soldiers,"$15,000,000",Jul 25 2003
Bulworth,"$30,000,000",May 15 1998
W.,"$25,100,000",Oct 17 2008
Bowfinger,"$55,000,000",Aug 13 1999
Bewitched,"$80,000,000",Jun 24 2005
Barnyard: The Original Party Animals,"$51,000,000",Aug 04 2006
Beyond the Sea,"$24,000,000",Dec 17 2004
Cabin Fever,"$1,500,000",Sep 12 2003
CachÈ,"$8,000,000",Dec 23 2005
Cadillac Records,"$12,000,000",Dec 05 2008
Can't Hardly Wait,"$10,000,000",Jun 12 1998
Capote,"$7,000,000",Sep 30 2005
Sukkar banat,"$1,600,000",Feb 01 2008
Disney's A Christmas Carol,"$190,000,000",Nov 06 2009
The Rage: Carrie 2,"$21,000,000",Mar 12 1999
Cars,"$70,000,000",Jun 09 2006
Cast Away,"$85,000,000",Dec 22 2000
Catch Me if You Can,"$52,000,000",Dec 25 2002
The Cat in the Hat,"$109,000,000",Nov 21 2003
Cats Don't Dance,"$32,000,000",Mar 26 1997
Catwoman,"$100,000,000",Jul 23 2004
Cecil B. Demented,"$10,000,000",Aug 11 2000
The Country Bears,"$20,000,000",Jul 26 2002
Center Stage,"$18,000,000",May 12 2000
The Corpse Bride,"$30,000,000",Sep 16 2005
Critical Care,"$12,000,000",Oct 31 1997
Connie & Carla,"$20,000,000",Apr 16 2004
Collateral Damage,"$85,000,000",Feb 08 2002
Crocodile Dundee in Los Angeles,"$25,000,000",Apr 20 2001
Celebrity,"$12,000,000",Nov 20 1998
The Cell,"$35,000,000",Aug 18 2000
Cellular,"$45,000,000",Sep 10 2004
City of Ember,"$38,000,000",Oct 10 2008
Charlie and the Chocolate Factory,"$150,000,000",Jul 15 2005
Catch a Fire,"$14,000,000",Oct 27 2006
Charlie's Angels: Full Throttle,"$120,000,000",Jun 27 2003
Charlie's Angels,"$90,000,000",Nov 03 2000
Chasing Amy,"$250,000",Apr 04 1997
Chicago,"$30,000,000",Dec 27 2002
Chicken Little,"$60,000,000",Nov 04 2005
Chicken Run,"$42,000,000",Jun 21 2000
Cheaper by the Dozen,"$40,000,000",Dec 25 2003
Cheaper by the Dozen 2,"$60,000,000",Dec 21 2005
Cheri,"$23,000,000",Jun 26 2009
Chill Factor,"$34,000,000",Sep 01 1999
Bride of Chucky,"$25,000,000",Oct 16 1998
Seed of Chucky,"$29,000,000",Nov 12 2004
Children of Men,"$76,000,000",Dec 25 2006
Chloe,"$13,000,000",Mar 26 2010
Love in the Time of Cholera,"$45,000,000",Nov 16 2007
Chocolat,"$25,000,000",Dec 15 2000
The Children of Huang Shi,"$20,000,000",May 23 2008
Les Choristes,"$5,500,000",Nov 26 2004
Chairman of the Board,"$7,000,000",Mar 13 1998
Chuck&Buck,"$250,000",Jul 14 2000
The Chumscrubber,"$6,800,000",Aug 05 2005
Charlotte's Web,"$82,500,000",Dec 15 2006
Cinderella Man,"$88,000,000",Jun 03 2005
A Cinderella Story,"$19,000,000",Jul 16 2004
City of Angels,"$55,000,000",Apr 10 1998
A Civil Action,"$60,000,000",Dec 25 1998
CJ7,"$20,000,000",Mar 07 2008
The Cookout,"$16,000,000",Sep 03 2004
The Claim,"$13,000,000",Dec 29 2000
The Santa Clause 2,"$65,000,000",Nov 01 2002
Cold Mountain,"$80,000,000",Dec 25 2003
Clean,"$10,000",Apr 28 2006
Click,"$82,500,000",Jun 23 2006
Code Name: The Cleaner,"$20,000,000",Jan 05 2007
Welcome to Collinwood,"$12,000,000",Oct 04 2002
Closer,"$35,000,000",Dec 03 2004
Clerks II,"$5,000,000",Jul 21 2006
Maid in Manhattan,"$55,000,000",Dec 13 2002
It's Complicated,"$75,000,000",Dec 25 2009
The Company,"$15,000,000",Dec 25 2003
Constantine,"$75,000,000",Feb 18 2005
The Contender,"$9,000,000",Oct 13 2000
Die F‰lscher,"$6,250,000",Feb 22 2008
Control,"$6,400,000",Oct 10 2007
Centurion,"$15,000,000",Aug 27 2010
Coach Carter,"$45,000,000",Jan 14 2005
Confessions of a Dangerous Mind,"$29,000,000",Dec 31 2002
Coco avant Chanel,"$23,000,000",Sep 25 2009
Code 46,"$7,500,000",Aug 06 2004
Agent Cody Banks 2: Destination London,"$26,000,000",Mar 12 2004
Agent Cody Banks,"$25,000,000",Mar 14 2003
Collateral,"$60,000,000",Aug 06 2004
College,"$6,000,000",Aug 29 2008
Company Man,"$12,000,000",Mar 09 2001
Come Early Morning,"$6,000,000",Nov 10 2006
Con Air,"$80,000,000",Jun 06 1997
Confidence,"$15,000,000",Apr 25 2003
Conspiracy Theory,"$80,000,000",Aug 08 1997
Contact,"$90,000,000",Jul 11 1997
The Cooler,"$4,000,000",Nov 26 2003
Copying Beethoven,"$11,000,000",Nov 10 2006
Corky Romano,"$11,000,000",Oct 12 2001
Coraline,"$60,000,000",Feb 06 2009
Confessions of a Teenage Drama Queen,"$15,000,000",Feb 20 2004
The Covenant,"$20,000,000",Sep 08 2006
Cop Land,"$15,000,000",Aug 15 1997
Couples Retreat,"$60,000,000",Oct 09 2009
Cradle Will Rock,"$32,000,000",Dec 08 1999
Crank,"$12,000,000",Sep 01 2006
Crash,"$10,000,000",Oct 04 1996
The Crazies,"$20,000,000",Feb 26 2010
Crazy in Alabama,"$15,000,000",Oct 22 1999
The Crew,"$23,000,000",Aug 25 2000
Cradle 2 the Grave,"$25,000,000",Feb 28 2003
Crocodile Hunter: Collision Course,"$12,500,000",Jul 12 2002
The In Crowd,"$15,000,000",Jul 19 2000
The Corruptor,"$10,000,000",Mar 12 1999
Man cheng jin dai huang jin jia,"$45,000,000",Dec 21 2006
Crash,"$6,500,000",May 06 2005
Crossover,"$5,600,000",Sep 01 2006
Crossroads,"$12,000,000",Feb 15 2002
The Count of Monte Cristo,"$40,000,000",Jan 25 2002
Cruel Intentions,"$11,000,000",Mar 05 1999
The Cry of the Owl,"$11,500,000",Nov 27 2009
Cry Wolf,"$1,000,000",Sep 16 2005
Crazy Heart,"$8,500,000",Dec 16 2009
crazy/beautiful,"$13,000,000",Jun 29 2001
The Last Castle,"$60,000,000",Oct 19 2001
Clockstoppers,"$26,000,000",Mar 29 2002
Catch That Kid,"$18,000,000",Feb 06 2004
Cats & Dogs,"$60,000,000",Jul 04 2001
The City of Your Final Destination,"$8,300,000",Apr 16 2010
Cidade de Deus,"$3,300,000",Jan 17 2003
City of Ghosts,"$17,500,000",Apr 25 2003
City by the Sea,"$40,000,000",Sep 06 2002
The Cube,"$250,000",Sep 11 1998
Coyote Ugly,"$45,000,000",Aug 04 2000
Curious George,"$50,000,000",Feb 10 2006
Cursed,"$35,000,000",Feb 25 2005
Civil Brand,"$500,000",Aug 29 2003
Cloudy with a Chance of Meatballs,"$100,000,000",Sep 18 2009
Charlie Wilson's War,"$75,000,000",Dec 21 2007
Cyrus,"$7,000,000",Jun 18 2010
Daddy Day Camp,"$76,000,000",Aug 08 2007
Daddy Day Care,"$60,000,000",May 09 2003
The Black Dahlia,"$60,000,000",Sep 15 2006
Diary of a Mad Black Woman,"$5,500,000",Feb 25 2005
Dance Flick,"$25,000,000",May 22 2009
"Dancer, Texas Pop. 81","$2,300,000",May 01 1998
Daredevil,"$80,000,000",Feb 14 2003
Dark City,"$27,000,000",Feb 27 1998
His Dark Materials: The Golden Compass,"$205,000,000",Dec 01 2007
Donnie Darko,"$4,500,000",Oct 26 2001
Dark Water,"$60,000,000",Jul 08 2005
Win a Date with Tad Hamilton!,"$24,000,000",Jan 23 2004
Date Movie,"$20,000,000",Feb 17 2006
Date Night,"$55,000,000",Apr 09 2010
Dawn of the Dead,"$28,000,000",Mar 19 2004
Daybreakers,"$20,000,000",Jan 08 2010
Day of the Dead,"$18,000,000",Apr 08 2008
The Great Debaters,"$15,000,000",Dec 25 2007
Double Jeopardy,"$40,000,000",Sep 24 1999
Der Baader Meinhof Komplex,"$19,700,000",Aug 21 2009
Deep Blue Sea,"$60,000,000",Jul 28 1999
Drive Me Crazy,"$8,000,000",Oct 01 1999
Dave Chappelle's Block Party,"$3,000,000",Mar 03 2006
Dancer in the Dark,"$12,500,000",Sep 22 2000
Diary of the Dead,"$2,750,000",Feb 15 2008
Dear John,"$25,000,000",Feb 05 2010
Dear Wendy,"$8,000,000",Sep 23 2005
D.E.B.S.,"$3,500,000",Mar 25 2005
Deconstructing Harry,"$20,000,000",Dec 12 1997
Mr. Deeds,"$50,000,000",Jun 28 2002
The Deep End of the Ocean,"$40,000,000",Mar 12 1999
Deep Rising,"$45,000,000",Jan 30 1998
"Definitely, Maybe","$7,000,000",Feb 14 2008
Death at a Funeral,"$21,000,000",Apr 16 2010
DÈj‡ Vu,"$80,000,000",Nov 22 2006
Delgo,"$40,000,000",Dec 12 2008
Despicable Me,"$69,000,000",Jul 09 2010
Deuce Bigalow: European Gigolo,"$22,000,000",Aug 12 2005
Deuce Bigalow: Male Gigolo,"$18,000,000",Dec 10 1999
The Devil's Own,"$90,000,000",Mar 26 1997
Darkness Falls,"$7,000,000",Jan 24 2003
Defiance,"$50,000,000",Dec 31 2008
A Dog of Flanders,"$7,000,000",Aug 27 1999
Dragonfly,"$60,000,000",Feb 22 2002
The Dead Girl,"$3,300,000",Dec 29 2006
The Lords of Dogtown,"$25,000,000",Jun 03 2005
Dick,"$13,000,000",Aug 04 1999
Live Free or Die Hard,"$110,000,000",Jun 27 2007
Digimon: The Movie,"$5,000,000",Oct 06 2000
Dirty Work,"$13,000,000",Jun 12 1998
Banlieue 13,"$15,000,000",Jun 02 2006
Disaster Movie,"$20,000,000",Aug 29 2008
District 9,"$30,000,000",Aug 14 2009
Disturbing Behavior,"$15,000,000",Jul 24 1998
Le Scaphandre et le Papillon,"$14,000,000",Nov 30 2007
Dark Blue,"$15,000,000",Feb 21 2003
Dreaming of Joseph Lees,"$3,250,000",Oct 29 1999
De-Lovely,"$4,000,000",Jun 25 2004
Madea's Family Reunion,"$10,000,000",Feb 24 2006
Dead Man on Campus,"$14,000,000",Aug 21 1998
Drowning Mona,"$16,000,000",Mar 03 2000
Diamonds,"$11,900,000",Dec 10 1999
Doomsday,"$33,000,000",Mar 14 2008
Donkey Punch,"$750,000",Jan 23 2009
Dinosaur,"$127,500,000",May 19 2000
DOA: Dead or Alive,"$30,000,000",Jun 15 2007
Doogal,"$20,000,000",Dec 31 2005
Dogma,"$10,000,000",Nov 12 1999
Domestic Disturbance,"$53,000,000",Nov 02 2001
Domino,"$50,000,000",Oct 14 2005
Donnie Brasco,"$35,000,000",Feb 28 1997
Doom,"$70,000,000",Oct 21 2005
Doubt,"$20,000,000",Dec 12 2008
Doug's 1st Movie,"$5,000,000",Mar 26 1999
Downfall,"$13,500,000",Feb 18 2005
The Deep End,"$3,000,000",Aug 08 2001
Deep Impact,"$80,000,000",May 08 1998
The Departed,"$90,000,000",Oct 06 2006
Dracula 2000,"$28,000,000",Dec 22 2000
Death Race,"$65,000,000",Aug 22 2008
Drag Me To Hell,"$30,000,000",May 29 2009
"Crouching Tiger, Hidden Dragon","$15,000,000",Dec 08 2000
Derailed,"$22,000,000",Nov 11 2005
Doctor Dolittle 2,"$72,000,000",Jun 22 2001
Doctor Dolittle,"$71,500,000",Jun 26 1998
Dickie Roberts: Former Child Star,"$17,000,000",Sep 05 2003
Drillbit Taylor,"$40,000,000",Mar 21 2008
Driving Lessons,"$4,700,000",Oct 13 2006
Driven,"$72,000,000",Apr 27 2001
Darkness,"$10,600,000",Dec 25 2004
I Dreamed of Africa,"$34,000,000",May 05 2000
Dreamcatcher,"$68,000,000",Mar 21 2003
Dreamgirls,"$75,000,000",Dec 15 2006
Detroit Rock City,"$16,000,000",Aug 13 1999
Drop Dead Gorgeous,"$10,000,000",Jul 23 1999
Drumline,"$20,000,000",Dec 13 2002
The Legend of Drunken Master,"$2,000,000",Oct 20 2000
Dinner Rush,"$2,000,000",Sep 28 2001
The Descent,"$7,000,000",Aug 04 2006
DysFunkTional Family,"$3,000,000",Apr 04 2003
The Master of Disguise,"$16,000,000",Aug 02 2002
Desert Blue,"$5,000,000",Jun 04 1999
Disturbia,"$20,000,000",Apr 13 2007
Double Take,"$24,000,000",Jan 12 2001
Death at a Funeral,"$20,000,000",Aug 17 2007
Deterrence,"$800,000",Mar 10 2000
Dirty Pretty Things,"$10,000,000",Jul 18 2003
Dudley Do-Right,"$22,000,000",Aug 27 1999
Duets,"$16,000,000",Sep 15 2000
The Dukes of Hazzard,"$53,000,000",Aug 05 2005
Duma,"$12,000,000",Sep 30 2005
Dumb and Dumberer: When Harry Met Lloyd,"$30,000,000",Jun 13 2003
Dungeons & Dragons 2: The Elemental Might,"$15,000,000",Oct 08 2005
